question,policy,k,numbers,acc,f1,auroc
Is there an anterior cruciate ligament tear?,activation-only,1,2.0,0.8472222222222222,0.5709828393135725,0.8694731553258684
Is there an anterior cruciate ligament tear?,random-k,1,2.0,0.8594444444444445,0.0,0.4976492965834051
Is there an anterior cruciate ligament tear?,question-aware,2,4.0,0.8505555555555555,0.556836902800659,0.8781966490299824
Is there an anterior cruciate ligament tear?,activation-only,2,4.0,0.8727777777777778,0.5975395430579965,0.8804883926007957
Is there an anterior cruciate ligament tear?,random-k,2,4.0,0.8572222222222222,0.0,0.5011458717854067
Is there an anterior cruciate ligament tear?,question-aware,4,8.0,0.8633333333333333,0.5802047781569966,0.8851539108322054
Is there an anterior cruciate ligament tear?,activation-only,4,8.0,0.8988888888888888,0.675,0.9217423403469915
Is there an anterior cruciate ligament tear?,random-k,4,8.0,0.855,0.01509433962264151,0.503017206021082
Is there an anterior cruciate ligament tear?,question-aware,8,16.0,0.8761111111111111,0.599640933572711,0.8950899265821748
Is there an anterior cruciate ligament tear?,activation-only,8,16.0,0.8866666666666667,0.6382978723404256,0.9223960255937
Is there an anterior cruciate ligament tear?,random-k,8,16.0,0.8416666666666667,0.046822742474916385,0.494248851564743
Is there an anterior cruciate ligament tear?,question-aware,16,32.0,0.8822222222222222,0.6254416961130742,0.9194685410770682
Is there an anterior cruciate ligament tear?,activation-only,16,32.0,0.8972222222222223,0.6714031971580817,0.9292712563061399
Is there an anterior cruciate ligament tear?,random-k,16,32.0,0.8177777777777778,0.12299465240641712,0.5336096755670399
Is there an anterior cruciate ligament tear?,question-aware,32,64.0,0.8905555555555555,0.6488413547237076,0.922780546327058
Is there an anterior cruciate ligament tear?,activation-only,32,64.0,0.8933333333333333,0.6607773851590106,0.9322730814978878
Is there an anterior cruciate ligament tear?,random-k,32,64.0,0.7805555555555556,0.2504743833017078,0.6079054899306837
Is there an anterior cruciate ligament tear?,question-aware,64,128.0,0.8833333333333333,0.6354166666666666,0.921134797588286
Is there an anterior cruciate ligament tear?,activation-only,64,128.0,0.8922222222222222,0.6596491228070176,0.9324345802058981
Is there an anterior cruciate ligament tear?,random-k,64,128.0,0.7788888888888889,0.38198757763975155,0.7190332636069071
Is there a joint effusion?,dense baseline,512,512.0,0.9861111111111112,0.966711051930759,0.9992903075208578
Is there a joint effusion?,full sparse,1024,66.96778106689453,0.9938888888888889,0.9852348993288591,0.9997948103972772
Is there a joint effusion?,question-aware,1,2.0,0.9144444444444444,0.7849162011173184,0.9290731077377188
Is there a joint effusion?,activation-only,1,2.0,0.9716666666666667,0.9309878213802436,0.991156139875305
Is there a joint effusion?,random-k,1,2.0,0.7933333333333333,0.0053475935828877,0.5000583566760037
Is there a joint effusion?,question-aware,2,4.0,0.9388888888888889,0.8472222222222222,0.962740203608325
Is there a joint effusion?,activation-only,2,4.0,0.9805555555555555,0.9521203830369357,0.9958623234239933
Is there a joint effusion?,random-k,2,4.0,0.7905555555555556,0.005277044854881266,0.5060022664979972
Is there a joint effusion?,question-aware,4,8.0,0.9494444444444444,0.8758526603001364,0.9781181289720188
Is there a joint effusion?,activation-only,4,8.0,0.9877777777777778,0.9702702702702702,0.9984074274871239
Is there a joint effusion?,random-k,4,8.0,0.7888888888888889,0.020618556701030927,0.5136460498177766
Is there a joint effusion?,question-aware,8,16.0,0.9561111111111111,0.8916323731138546,0.9851849341887292
Is there a joint effusion?,activation-only,8,16.0,0.9877777777777778,0.9701897018970189,0.9989458148850938
Is there a joint effusion?,random-k,8,16.0,0.7911111111111111,0.08737864077669903,0.5468368799132556
Is there a joint effusion?,question-aware,16,32.0,0.9555555555555556,0.8907103825136612,0.9874401373452607
Is there a joint effusion?,activation-only,16,32.0,0.9922222222222222,0.981081081081081,0.9998098701846331
Is there a joint effusion?,random-k,16,32.0,0.7744444444444445,0.17479674796747968,0.5821614936297099
Is there a joint effusion?,question-aware,32,64.0,0.9616666666666667,0.905608755129959,0.9888821119845789
Is there a joint effusion?,activation-only,32,64.0,0.9938888888888889,0.9852348993288591,0.9998004578175356
Is there a joint effusion?,random-k,32,64.0,0.7677777777777778,0.3079470198675497,0.6643832264088432
Is there a joint effusion?,question-aware,64,128.0,0.9633333333333334,0.9105691056910569,0.9901640763832413
Is there a joint effusion?,activation-only,64,128.0,0.9938888888888889,0.9852348993288591,0.9997948103972772
Is there a joint effusion?,random-k,64,128.0,0.7844444444444445,0.48947368421052634,0.7817413255624832
Is there bone marrow edema?,dense baseline,512,512.0,0.9483333333333334,0.8751677852348994,0.9790051901136338
Is there bone marrow edema?,full sparse,1024,66.96778106689453,0.9422222222222222,0.8505747126436781,0.9598737910693463
Is there bone marrow edema?,question-aware,1,2.0,0.8333333333333334,0.5967741935483871,0.8473298732575775
Is there bone marrow edema?,activation-only,1,2.0,0.885,0.7096774193548387,0.9109297238798576
Is there bone marrow edema?,random-k,1,2.0,0.7961111111111111,0.0,0.5007202140064476
Is there bone marrow edema?,question-aware,2,4.0,0.8677777777777778,0.6783783783783783,0.8844113679493336
Is there bone marrow edema?,activation-only,2,4.0,0.9138888888888889,0.7776183644189383,0.9316501665256722
Is there bone marrow edema?,random-k,2,4.0,0.7922222222222223,0.010582010582010581,0.5021320620984521
Is there bone marrow edema?,question-aware,4,8.0,0.8944444444444445,0.7382920110192838,0.9216529101980779
Is there bone marrow edema?,activation-only,4,8.0,0.9283333333333333,0.8116788321167884,0.9420951749472224
Is there bone marrow edema?,random-k,4,8.0,0.7916666666666666,0.025974025974025976,0.5035172355976252
Is there bone marrow edema?,question-aware,8,16.0,0.9077777777777778,0.771978021978022,0.9326733276935623
Is there bone marrow edema?,activation-only,8,16.0,0.9383333333333334,0.8398268398268398,0.950455754471805
Is there bone marrow edema?,random-k,8,16.0,0.7861111111111111,0.07228915662650602,0.5196791808613608
Is there bone marrow edema?,question-aware,16,32.0,0.915,0.7889655172413793,0.9431526320201813
Is there bone marrow edema?,activation-only,16,32.0,0.9433333333333334,0.853448275862069,0.9558878447691124
Is there bone marrow edema?,random-k,16,32.0,0.7727777777777778,0.1670061099796334,0.564598242525398
Is there bone marrow edema?,question-aware,32,64.0,0.9211111111111111,0.8,0.9490439063798005
Is there bone marrow edema?,activation-only,32,64.0,0.9422222222222222,0.8510028653295129,0.960376797677024
Is there bone marrow edema?,random-k,32,64.0,0.7494444444444445,0.3156297420333839,0.6290707333988766
Is there bone marrow edema?,question-aware,64,128.0,0.9216666666666666,0.8016877637130801,0.9520600406978074
Is there bone marrow edema?,activation-only,64,128.0,0.9422222222222222,0.8505747126436781,0.9598737910693463
Is there bone marrow edema?,random-k,64,128.0,0.7638888888888888,0.44152431011826543,0.7054096074262066
